site_ID,precip_mm
734_135,2426.306397
736_375,1953.755005
21_14,2209.222412
734_136,2055.394043
21_15,2259.167969
736_376,1953.755005
735_16,2573.938721
735_17,2503.194336
736_377,1968.609985
21_18,2352.491455
735_19,2328.277832
734_137,2109.864502
746_378,2249.279053
746_379,2337.70752
747_20,1751.916992
39_380,2244.414307
747_21,1751.916992
40_138,2490.391602
745_22,2352.220703
39_381,2244.414307
40_139,2509.513184
746_382,2249.279053
745_23,2352.220703
747_24,1636.535034
39_383,2244.414307
40_140,2490.391602
41_384,2518.762451
41_385,2518.762451
41_541,2518.762451
41_386,2547.72168
745_25,2302.670654
65_141,2215.059815
756_387,2593.987061
64_388,2293.022949
757_26,1974.810181
757_27,2065.549072
65_142,2164.996826
757_28,1850.727905
756_389,2301.279541
756_390,2231.555908
64_391,2390.530273
63_143,2509.126221
63_144,2591.087158
64_392,2390.530273
65_145,2283.259033
63_146,2591.087158
88_29,2321.040283
82_30,2774.979248
765_147,1897.275757
87_393,2445.340332
765_148,2038.311157
85_31,2779.06665
82_32,2774.979248
86_149,2636.157471
87_394,2466.981445
82_33,2774.979248
86_150,2718.148438
88_34,2374.710693
83_395,2804.308594
85_35,2779.06665
83_396,2804.308594
84_151,2982.282227
765_152,2066.831787
83_397,3059.440674
87_398,2697.214844
84_153,3059.508789
84_154,2891.812744
86_155,3108.792725
85_36,3252.246826
88_37,2599.624023
112_156,2471.626709
109_38,3605.10083
106_39,3005.868164
106_40,3061.270264
107_399,3006.147705
108_400,3367.022217
111_41,3699.172607
109_42,3346.768311
107_401,3061.89624
108_402,3367.022217
108_403,3367.022217
111_43,3590.763428
109_1,3605.10083
112_157,2471.626709
109_44,3605.10083
106_45,3061.270264
775_158,1800.674805
112_159,2471.626709
775_160,1973.464966
107_404,3006.147705
775_161,1973.464966
111_46,4880.952637
137_162,3889.536377
140_163,2974.445557
141_164,2055.121094
138_564,4135.062988
135_165,2874.084717
139_565,5234.278809
140_166,3394.703857
138_566,4281.76709
136_567,4203.339844
141_167,2468.043945
136_568,4328.585938
137_168,4196.119141
137_47,4196.119141
135_48,2924.798828
135_169,3273.496582
136_569,4203.339844
140_121,3394.703857
138_405,3594.63916
140_170,2916.213867
135_171,2924.798828
139_570,4797.759766
141_172,2324.12915
138_571,4281.76709
139_406,5234.278809
141_122,2324.12915
137_49,4196.119141
137_173,4196.119141
139_572,4797.759766
139_407,4797.759766
169_573,4759.95752
168_174,3989.018311
169_574,4535.000488
171_575,3610.750244
172_576,2788.321777
172_577,2812.295898
170_175,4609.64502
168_176,4261.403809
167_177,3842.242676
170_178,4794.760742
169_578,4759.95752
167_179,3842.242676
173_579,2365.312744
172_580,2788.321777
171_581,3610.750244
171_582,3386.119873
168_180,4275.835938
171_408,3386.119873
167_181,3229.858643
173_583,2631.814941
170_182,4707.73291
173_584,2681.002441
199_183,3709.225098
203_184,3543.659912
206_585,2462.523926
202_185,4058.57666
205_186,3098.481445
202_187,4058.57666
200_188,3505.154297
203_189,3543.659912
206_409,2079.509033
205_123,2986.157471
202_190,4058.57666
203_191,3543.659912
205_192,3098.481445
200_193,3275.063232
204_194,3239.397949
203_2,3543.659912
204_195,3417.916748
200_196,3423.516602
201_410,4141.493652
205_50,3098.481445
204_51,3417.916748
206_586,2462.523926
199_197,3662.777832
206_587,2462.523926
204_198,3498.451416
199_199,3838.527588
205_200,3561.156006
206_411,3334.012207
201_412,3274.110352
201_413,3349.937988
240_588,3488.649414
240_414,3488.649414
240_589,3488.649414
239_590,3281.371826
239_591,3281.371826
241_52,3205.355957
239_592,3281.371826
235_415,3821.433838
232_201,2808.662842
240_593,4246.047363
237_202,3551.374756
234_594,3340.706787
242_595,2277.784424
233_416,3041.367188
236_203,3994.877197
235_417,3843.12915
240_418,3384.034424
238_204,3745.987061
233_419,2924.977051
236_53,3994.877197
236_205,3851.284424
242_420,2522.151611
237_206,3551.374756
241_207,2976.893555
232_54,3015.199219
238_208,3882.007813
232_209,3015.199219
234_596,3340.706787
241_210,2918.103027
238_3,3882.007813
236_211,3851.284424
232_212,3015.199219
238_55,3882.007813
235_421,3843.12915
232_56,3015.199219
238_213,3882.007813
237_214,3767.647949
242_597,2277.784424
234_422,3626.920654
242_423,2277.784424
241_215,2916.385498
234_598,3340.706787
238_57,3882.007813
233_424,2924.977051
242_599,2277.784424
238_124,3882.007813
238_4,3882.007813
275_216,4172.569336
275_58,4172.569336
275_59,4172.569336
275_5,4172.569336
270_217,3445.034668
275_218,4172.569336
273_425,4612.248047
275_219,4172.569336
275_60,4172.569336
278_125,2294.205078
271_220,3270.733154
279_426,1926.993897
271_221,3288.709473
270_61,3322.695557
268_222,2919.468018
270_6,3322.695557
269_427,3214.535156
269_542,3214.535156
271_223,3288.709473
278_224,2294.205078
276_428,2945.459229
268_62,2712.89502
278_225,1922.981567
279_600,1862.699097
273_429,5202.413574
269_601,3085.874023
276_430,2980.651611
278_226,1922.981567
276_431,2980.651611
270_227,3322.933838
269_602,3085.874023
273_432,5202.413574
270_7,3322.933838
268_228,3091.063477
272_229,3366.653565
274_433,4353.287109
279_603,1510.372803
272_230,3366.653565
272_231,3366.653565
272_63,3366.653565
277_434,2625.412354
269_604,3085.874023
269_558,3085.874023
279_605,1862.699097
270_232,3468.851807
274_435,4353.287109
277_436,2625.412354
269_437,3085.874023
279_559,1862.699097
277_438,2301.433106
274_439,4353.287109
268_233,3091.063477
314_64,4145.174316
314_234,4145.174316
314_235,4145.174316
314_236,4145.174316
314_65,4145.174316
309_606,2587.708252
318_66,2400.13794
321_237,1357.966797
309_607,2587.708252
313_608,3836.423584
311_440,3272.907715
312_441,3664.70752
318_238,2400.13794
313_442,3836.423584
310_443,3091.478272
313_609,3836.423584
315_444,5083.363281
318_67,2400.13794
