Site_ID,Hex_ID,Rep_ID,Station_ID,site_rep,site_station_num,site_st_visit_num,Year,Rep,UTM_E,UTM_N,Station_num,Visit_num,lat,lon,occ_start,Visit_date,Interval,Camera_Days_Good,Bait_Days_Good,Snare_Days_Good,Photo_Count,Species,events,NumFishers,Fisher.camera,Fisher.DNA,fisher._sex,Collar,Fisher2.DNA,fisher2._sex,Collar2,Other.DNA1,Other.DNA2,Pine_marten,Black_bear,Bobcat,Cougar,Coyote,Spotted_skunk,skunk_hair,bear_hair,Station_moved,combined_spottedskunk,combined_bear,combined_fisher,moon,moon.scaled,camera.days.scaled,bait.days.scaled
136_568,136,NA,NA,1,1,1,2013,1,434196,5245984,1,1,47.36400375,-123.87149,9/16/2013,9/29/2013,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,NA,480.8380624,1.799088825,-0.262837516,0.151398724
136_568,136,NA,NA,1,1,2,2013,1,434196,5245984,1,2,47.36400375,-123.87149,9/29/2013,10/20/2013,21,21,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,232.3721534,0.06429547,2.455115679,-0.0955243
136_568,136,NA,NA,1,1,3,2013,1,434196,5245984,1,3,47.36400375,-123.87149,10/20/2013,11/3/2013,14,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,287.1886518,0.447025228,0.076906634,-1.330139425
136_569,136,NA,NA,1,1,1,2013,1,435556,5246627,2,1,47.36992446,-123.8535739,9/16/2013,9/29/2013,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,NA,480.847712,1.799156198,-0.262837516,0.151398724
136_569,136,NA,NA,1,1,2,2013,1,435556,5246627,2,2,47.36992446,-123.8535739,9/29/2013,10/20/2013,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,232.3747163,0.064313364,2.455115679,2.126782923
136_569,136,NA,NA,1,1,3,2013,1,435556,5246627,2,3,47.36992446,-123.8535739,10/20/2013,11/3/2013,14,14,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,287.2044692,0.447135665,0.076906634,-0.58937035
136_567,136,NA,NA,1,1,1,2013,1,437762,5245689,3,1,47.36169888,-123.8242267,9/16/2013,9/29/2013,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,480.8393947,1.799098127,-0.262837516,0.151398724
136_567,136,NA,NA,1,1,2,2013,1,437762,5245689,3,2,47.36169888,-123.8242267,9/29/2013,10/21/2013,22,22,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,255.123117,0.223143099,2.794859828,-1.330139425
136_567,136,NA,NA,1,1,3,2013,1,437762,5245689,3,3,47.36169888,-123.8242267,10/21/2013,11/3/2013,13,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,252.8962233,0.207594888,-0.262837516,-2.564754549
138_571,138,NA,NA,1,1,1,2013,1,456346,5247235,1,1,47.37711479,-123.5782838,9/16/2013,9/29/2013,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,480.8732275,1.799334348,-0.262837516,0.151398724
138_571,138,NA,NA,1,1,2,2013,1,456346,5247235,1,2,47.37711479,-123.5782838,9/29/2013,10/21/2013,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,NA,255.1275375,0.223173963,2.794859828,2.373705948
138_571,138,NA,NA,1,1,3,2013,1,456346,5247235,1,3,47.37711479,-123.5782838,10/21/2013,11/4/2013,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,234.8881226,0.081862012,0.076906634,0.398321749
138_566,138,NA,NA,1,1,1,2013,1,457284,5245418,2,1,47.36082791,-123.5656839,9/16/2013,9/29/2013,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,480.8550088,1.799207145,-0.262837516,0.151398724
138_566,138,NA,NA,1,1,2,2013,1,457284,5245418,2,2,47.36082791,-123.5656839,9/29/2013,10/21/2013,22,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,NA,255.1151725,0.22308763,2.794859828,2.373705948
138_566,138,NA,NA,1,1,3,2013,1,457284,5245418,2,3,47.36082791,-123.5656839,10/21/2013,11/4/2013,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,NA,234.8575645,0.081648654,0.076906634,0.398321749
138_564,138,NA,NA,1,1,1,2013,1,453172,5244368,3,1,47.35109869,-123.6200249,9/16/2013,9/29/2013,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,480.8372315,1.799083023,-0.262837516,0.151398724
138_564,138,NA,NA,1,1,2,2013,1,453172,5244368,3,2,47.35109869,-123.6200249,9/29/2013,10/21/2013,22,22,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,NA,0,1,NA,NA,255.1091812,0.223045799,2.794859828,-0.342447325
