site_ID,Elevation_m
734_135,127.1341476
736_375,349.5
21_14,11.5853662
734_136,106.0975647
21_15,76.8292694
736_376,277.7000122
735_16,399.6000061
735_17,429.8999939
736_377,428.6000061
21_18,97.8658524
735_19,404.8999939
734_137,96.9512177
746_378,223.3000031
746_379,117.9878082
747_20,132.3000031
39_380,10.6707315
747_21,118.3000031
40_138,29.8780499
745_22,184.146347
39_381,8.2317076
40_139,34.1463432
746_382,254.6000061
745_23,78.0487823
747_24,20.8999996
39_383,13.4146347
40_140,73.1707306
41_384,55.7926826
41_385,115.5487823
41_541,72.8658524
41_386,100.9146347
745_25,130.1829224
65_141,90.5
756_387,192.5
64_388,62.7999992
757_26,121.9000015
757_27,152.6999969
65_142,104
757_28,115.6999969
756_389,111.8000031
756_390,213.6999969
64_391,87.5
63_143,66.4000015
63_144,89.3000031
64_392,159.5
65_145,121.0999985
63_146,137.3999939
88_29,140.5
82_30,46
765_147,106.6999969
87_393,114.3000031
765_148,114.0999985
85_31,79.5
82_32,63
86_149,112.4000015
87_394,109.5999985
82_33,60.7999992
86_150,155.1999969
88_34,135
83_395,58.0999985
85_35,79.1999969
83_396,61.5999985
84_151,112
765_152,115.1999969
83_397,35.4000015
87_398,120.5
84_153,124.3000031
84_154,121.0999985
86_155,225.3999939
85_36,104.4000015
88_37,136.5
112_156,167.8999939
109_38,112.4000015
106_39,103.1999969
106_40,103.5
107_399,110.3000031
108_400,337.5
111_41,237.5
109_42,190.8000031
107_401,133.6999969
108_402,122.5999985
108_403,140.6000061
111_43,297
109_1,261.3999939
112_157,197.1000061
109_44,155.5
106_45,109.3000031
775_158,106.3000031
112_159,215.3999939
775_160,104.5999985
107_404,145.1999969
775_161,116.6999969
111_46,454
137_162,248.5
140_163,253.8999939
141_164,178
138_564,258.1000061
135_165,62.7999992
139_565,275.2000122
140_166,331.3999939
138_566,296.7000122
136_567,209
141_167,195.6999969
136_568,475.1000061
137_168,288.2999878
137_47,249.3000031
135_48,82.5
135_169,91
136_569,423.2999878
140_121,350.2000122
138_405,262.2999878
140_170,276.7999878
135_171,85.8000031
139_570,637.5
141_172,186.5
138_571,375.2000122
139_406,480.8999939
141_122,165.1000061
137_49,305.8999939
137_173,271.3999939
139_572,498.6000061
139_407,729.2000122
169_573,301.6000061
168_174,281.7000122
169_574,315.6000061
171_575,394.1000061
172_576,316.6000061
172_577,281
170_175,719.0999756
168_176,220.3999939
167_177,103
170_178,316.2000122
169_578,435.6000061
167_179,120.5999985
173_579,422.2000122
172_580,333.3999939
171_581,319.2999878
171_582,311.2000122
168_180,252.3000031
171_408,299.5
167_181,125.3000031
173_583,546.4000244
170_182,338.8999939
173_584,488.3999939
199_183,152.6999969
203_184,465.8999939
206_585,224.5
202_185,1009.200012
205_186,296.2999878
202_187,1094.199951
200_188,74.4000015
203_189,489.8999939
206_409,163.3000031
205_123,392.2000122
202_190,1039.400024
203_191,478.8999939
205_192,874.0999756
200_193,97
204_194,252
203_2,493
204_195,591.5
200_196,75.9000015
201_410,374.6000061
205_50,1086.300049
204_51,594.9000244
206_586,219.1999969
199_197,535.2999878
206_587,399.8999939
204_198,286.6000061
199_199,573.0999756
205_200,1168.300049
206_411,565.5
201_412,271.7000122
201_413,93.0999985
240_588,1199.199951
240_414,950.2000122
240_589,949.5999756
239_590,1210.199951
239_591,1192.300049
241_52,503.6000061
239_592,1055.099976
235_415,411.2000122
232_201,84.1999969
240_593,1096.400024
237_202,176.8000031
234_594,188.3999939
242_595,206.1999969
233_416,42.5
236_203,609.2000122
235_417,875.9000244
240_418,588.5
238_204,242
233_419,74
236_53,904.0999756
236_205,896.0999756
242_420,222.3000031
237_206,205.8000031
241_207,356.2999878
232_54,107.4000015
238_208,290.1000061
232_209,131.1999969
234_596,177.1999969
241_210,863.2000122
238_3,394.3999939
236_211,908.5999756
232_212,169.6000061
238_55,294.7999878
235_421,869.9000244
232_56,152.8000031
238_213,388.1000061
237_214,199.1000061
242_597,392.7999878
234_422,579.2999878
242_423,355.5
241_215,240.6000061
234_598,511.8999939
238_57,329.7000122
233_424,103.5
242_599,477.1000061
238_124,303.3999939
238_4,310.7000122
275_216,756.4000244
275_58,693.0999756
275_59,878.7999878
275_5,698.2999878
270_217,293.8999939
275_218,1144.800049
273_425,1142.900024
275_219,760.9000244
275_60,957.7999878
278_125,1191.800049
271_220,104.1999969
279_426,292.7000122
271_221,105.0999985
270_61,290.8999939
268_222,95.6999969
270_6,371.6000061
269_427,82.5
