site_ID,Shape_Area
456_295,16326889.590571973472834
272_230,16379992.640666425228119
136_567,16379990.742874342948198
269_602,16379983.940383188426495
269_427,16379984.223839204758406
317_241,16379992.382739320397377
633_705,16379992.141793485730886
465_500,16370090.806300245225430
458_298,16379991.858107225969434
603_695,16322911.079062080010772
515_316,16379988.695358976721764
310_443,16379991.106373501941562
170_175,16379990.805015068501234
362_460,16379993.350552979856730
554_110,15033862.075776092708111
512_311,16379989.376630421727896
609_112,11619067.951101427897811
357_74,16379990.533774256706238
242_595,14800962.961313592270017
412_635,16379991.246925735846162
238_55,16379991.332116624340415
505_317,16379989.318311912938952
645_710,16379989.744759481400251
747_21,16351188.546299541369081
505_307,16379990.889159761369228
39_380,16379989.263999778777361
553_518,16363788.453800674527884
606_363,13484768.245365399867296
235_415,16379988.511742476373911
65_142,16375495.022907190024853
141_122,16379992.583907373249531
646_539,16379988.511922696605325
607_698,16379012.598182601854205
556_521,16379989.302371770143509
414_88,16003352.945315528661013
362_456,16379987.325279982760549
355_469,16379992.129174249246716
270_7,16379991.023700255900621
511_512,16379991.327969683334231
413_269,16379991.825563348829746
353_266,16379990.457516578957438
458_97,16379991.064752999693155
353_260,16379989.865774203091860
456_290,16326888.624102683737874
404_623,16379990.474139846861362
316_244,16364689.811406847089529
363_466,16379993.219550289213657
656_713,14320158.792216230183840
364_470,16379992.566097803413868
458_294,16379988.673096675425768
451_296,16379990.746471451595426
106_40,16379990.795011308044195
320_455,16379990.485259694978595
85_31,16379990.445796007290483
505_101,16379988.762681568041444
278_226,16379994.291695542633533
279_600,16379990.963135331869125
553_687,16364041.980723908171058
461_651,16379991.565217010676861
138_566,16379991.575434241443872
605_554,16379996.115913771092892
237_206,16379990.187110068276525
168_174,16379989.911031680181623
400_637,16379989.298542238771915
608_114,15430116.205271730199456
734_137,16353893.858922163024545
318_238,16379989.635209750384092
455_508,16379987.627607801929116
408_87,16379989.542163653299212
455_655,16379988.894918767735362
645_562,16379990.054505687206984
321_240,16379990.843465590849519
554_348,14685708.407675834372640
352_264,15387681.850383240729570
171_582,16379989.515920376405120
275_5,16379988.654558287933469
241_210,16370991.430913077667356
560_689,16379990.701720399782062
362_467,16379994.552797714248300
563_516,16379992.363321933895350
21_18,16379989.799075312912464
451_94,16379990.746643634513021
608_364,11094776.145498570054770
412_482,16379990.320307612419128
272_229,16379991.524264393374324
365_129,16353889.091345310211182
204_198,16379991.280980119481683
510_313,16379991.071763014420867
459_493,16379984.720138352364302
317_243,16379989.761860307306051
234_596,16379989.607082977890968
82_33,16379995.459468213841319
275_58,16379981.969561854377389
631_537,16379992.777200551703572
605_693,16379990.308492958545685
205_50,16015083.769652659073472
561_107,16379983.835438199341297
85_35,16379991.292550830170512
400_638,16379991.894886951893568
275_59,16379985.039890173822641
460_653,16379989.511578427627683
199_199,16379992.111750330775976
355_458,16379990.727507814764977
561_337,16379986.409299513325095
512_314,16379992.954677397385240
408_275,16379989.304318869486451
459_548,16379986.675540160387754
107_401,16379988.352798940613866
112_157,16379992.110838185995817
403_272,16379989.384680040180683
563_677,16379991.776796540245414
321_237,16367651.790549205616117
403_270,16379987.657131077721715
765_148,16379990.222682612016797
756_389,16237321.030627170577645
633_706,16379989.353022348135710
646_538,16379990.872727816924453
607_700,13446449.853616151958704
509_664,16379989.687451947480440
352_257,14382400.458408903330564
775_160,16363788.513066276907921
233_416,16379989.533964928239584
414_93,16379992.654041636735201
235_421,16379992.761371077969670
203_191,16366492.229102713987231
140_166,16379990.719415660947561
356_472,16379991.614738877862692
555_353,16379989.080346750095487
233_424,16379989.438488835468888
316_9,16364691.341351186856627
756_387,16379988.731085099279881
317_246,16379988.641885664314032
458_292,16379981.729902276769280
512_12,16379991.548792354762554
402_281,16379988.488127529621124
746_382,16379990.979111032560468
553_684,16363793.338377559557557
460_495,16379995.950064549222589
506_510,16379993.879789989441633
452_652,16379990.488494813442230
269_437,16379992.326407445594668
316_250,16379992.193508539348841
318_239,16379991.521802259609103
136_569,16379993.210777757689357
402_267,16379978.101507605984807
602_532,16379993.481118943542242
401_545,16379990.712003448978066
504_103,16379986.561330862343311
458_98,16379988.764729084447026
239_590,16379991.641355708241463
270_217,16379990.775909161195159
270_232,16379991.873348103836179
64_388,16379989.103366693481803
321_8,15908577.442829674109817
406_546,16379986.446505185216665
409_478,16379988.966947169974446
605_697,16379989.831555211916566
202_185,16379992.732947416603565
452_654,16379992.271556502208114
656_563,16379989.940145645290613
602_526,16379990.802002890035510
410_636,16379867.477217273786664
273_425,16379989.834500288590789
458_99,16379991.112810438498855
200_196,16379989.984265573322773
169_578,16379990.975916709750891
560_678,16379991.018099864944816
511_661,16373005.696776945143938
601_113,15833445.599109821021557
506_560,16379990.113847721368074
450_502,16368877.020746096968651
168_180,16379992.343280812725425
141_164,16273312.017049849033356
608_115,12541810.949174724519253
360_255,16379991.801262028515339
312_441,16379990.074090747162700
172_580,16379994.020740615203977
565_690,11833090.488025648519397
279_605,16379991.924105094745755
356_617,16379988.877212958410382
462_301,16379990.228863073512912
406_639,16379993.319361614063382
167_181,14439123.666611799970269
606_111,16379989.478607900440693
311_440,16379991.565834142267704
138_564,16379988.600936660543084
363_464,16346689.756919590756297
407_479,16379990.699269076809287
135_169,16379989.681321812793612
505_333,16379992.930117432028055
314_65,16379991.645800147205591
170_182,16355691.657030373811722
561_336,16379991.126188727095723
465_496,16370089.491955917328596
107_404,16379993.933146262541413
552_350,16377950.334295803681016
405_278,16379990.243330989032984
109_1,16379988.501823168247938
408_91,16379989.411571135744452
316_70,16364691.728215215727687
313_608,16379990.006242463365197
141_172,16379990.791245177388191
406_634,16379983.412692982703447
453_505,16379987.394702585414052
559_352,11562866.006342165172100
87_394,16379990.347947707399726
450_647,16379990.685530288144946
360_78,16379989.453349927440286
606_355,16379991.521309712901711
352_262,15903400.281959390267730
461_643,16379988.377383509650826
39_383,16379990.887170275673270
277_438,16379994.803362790495157
364_616,16379991.938107034191489
365_127,16351187.340385729447007
510_320,16379993.854566190391779
309_607,9396934.122337806969881
564_675,16375488.264147961512208
631_535,16379991.184033663943410
135_165,16379991.999080991372466
406_489,16379984.326384373009205
414_131,15992315.494974598288536
366_81,13193842.525343777611852
140_163,16329587.423734007403255
268_233,16379994.274301555007696
460_659,16379991.906248357146978
135_48,16379993.616001794114709
41_541,16379986.963092863559723
603_530,16379992.007054360583425
508_102,16379989.920217324048281
272_231,16379990.104486107826233
